AppID,Name,Genres,Categories,Tags,Rating
208670,Blades of Time,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support","Action, Female Protagonist, Hack and Slash, Adventure, Third Person",52
350310,BLADESTORM: Nightmare,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Camera Comfort","Action, Strategy, Hack and Slash, Character Customization, Medieval",35
1092660,Blair Witch,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Adventure, Horror, Psychological Horror, Indie, First-Person",65
461730,Blaite,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen","Indie, Action, Casual, Adventure, Platformer",37
358190,Blake Stone: Aliens of Gold,Action,"Single-player, Partial Controller Support, Family Sharing","FPS, Action, First-Person, Shooter, 1990s",33
530330,Blameless,"Adventure, Free To Play, Indie","Single-player, Steam Achievements, Captions available, Steam Cloud","Free to Play, Horror, Adventure, Multiplayer, Puzzle",64
1982340,Blanc,"Adventure, Indie","Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen","Adventure, Emotional, Co-op, Atmospheric, Relaxing",41
420840,BLARP!,"Casual, Indie","Single-player, Tracked Controller Support, VR Only, VR Support, Family Sharing","Indie, Casual, VR",34
774361,Blasphemous,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Metroidvania, Pixel Graphics, Souls-like, Dark Fantasy, Gore",87
2114740,Blasphemous 2,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Combat, Fantasy, Metroidvania, Souls-like, Adventure",81
1550760,Blast Brigade vs. the Evil Legion of Dr. Cread,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Difficult, Cartoon, Platformer, Metroidvania, Exploration",35
943170,Blast the Past,"Action, Casual, Free To Play, Indie, Simulation","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Stats","Free to Play, VR, Indie, Casual, Simulation",33
391140,Blast-off,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Action, Indie, Arcade, Futuristic, Shoot Em Up",37
1034900,Blaster Master Zero,Action,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op","Action, Metroidvania, Pixel Graphics, Retro, Platformer",46
1034910,Blaster Master Zero 2,Action,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Action, Pixel Graphics, Platformer, Metroidvania, Retro",39
1588380,Blaster Master Zero 3,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Action, Adventure, Metroidvania, Exploration, Anime",37
1427890,Blaston,"Action, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer","Singleplayer, Strategy, VR, Multiplayer, Competitive",40
586140,BlazBlue Centralfiction,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","Fighting, Anime, 2D Fighter, Action, Great Soundtrack",80
2273430,BlazBlue Entropy Effect,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op","Action Roguelike, Action-Adventure, 2D, Action, Platformer",89
263300,BlazBlue: Calamity Trigger,Action,"Single-player, Multi-player, Shared/Split Screen, Full controller support, Steam Trading Cards","Fighting, Anime, 2D Fighter, Arcade, Great Soundtrack",59
